name,location,cuisines,rating,approx_cost
Sri Matha Sagar,Electronic City,"North Indian, Chinese, South Indian",2.8,250.0
Grand Taj Durbar,Electronic City,"North Indian, Chinese",3.5,300.0
New Hotel Prashanth,Electronic City,"Fast Food, Andhra",3.1,300.0
Super Hyderabadi Dum Biriyani & Combos,Electronic City,"South Indian, Biryani",0.0,300.0
Amaravathi Andhra Style Family Restaurant,Electronic City,Andhra,0.0,250.0
Sai Sagar Food Court,Electronic City,"South Indian, North Indian, Chinese",0.0,300.0
Tiffin,Electronic City,Fast Food,0.0,100.0
French Bake House,Electronic City,"Bakery, Fast Food, Burger, Rolls, Beverages",3.3,350.0
Basveshwara Khaanavali,Electronic City,South Indian,3.5,150.0
Cafe Shawamek,Electronic City,Fast Food,3.2,300.0
Sri Varu Food Corner,Electronic City,South Indian,0.0,150.0
New Priya Sagar,Electronic City,"South Indian, Chinese, Street Food",0.0,200.0
MKA Ambur Hot Dum Biriyani,Electronic City,Biryani,0.0,200.0
V20,Electronic City,"North Indian, Continental",0.0,300.0
M S Punjabi Dhaba,Electronic City,"Chinese, North Indian",0.0,300.0
Pratha N Snacks,Electronic City,"North Indian, Street Food",0.0,200.0
Maa Sharda Hotel,Electronic City,"North Indian, Chinese",0.0,350.0
The Malabari,Electronic City,"South Indian, Fast Food",0.0,300.0
Neelu's Food Court,Electronic City,"South Indian, Fast Food",0.0,250.0
Hyderabadi Biriyani Corner,Electronic City,Biryani,0.0,200.0
Sharon Hotel,Electronic City,"Kerala, South Indian",0.0,300.0
Wow Manglore Multi Cuisine Restaurant,Electronic City,"Fast Food, Kerala, Mangalorean, Seafood, South Indian",0.0,300.0
Punjabi Dhaba And Family Restaurant,Electronic City,"North Indian, Chinese",0.0,250.0
Goli Vada Pav No 1,Electronic City,Street Food,3.4,200.0
Halli Mane Badoota Hotel,Electronic City,South Indian,0.0,300.0
Pathumma`s Kitchen,Electronic City,North Indian,3.2,200.0
Star Ambur Dum Biryani,Electronic City,Biryani,3.2,200.0
Sri Matha Sagar,Electronic City,"South Indian, North Indian, Chinese",3.2,200.0
Hotel Thalassery,Electronic City,"Kerala, South Indian",3.4,200.0
The Foodware Veg,Electronic City,South Indian,3.8,400.0
Reddy Dhaba,Electronic City,North Indian,0.0,350.0
I Siri Restaurant And Caterers,Electronic City,"North Indian, South Indian, Chinese",3.4,400.0
S.L.V.Brahmin Cafe,Electronic City,South Indian,0.0,100.0
Grand Fast Food,Electronic City,Fast Food,0.0,250.0
Wedesi,Electronic City,North Indian,0.0,250.0
A-1 Fast Food,Electronic City,Fast Food,0.0,100.0
Sri Ragavendhra Upahar,Electronic City,South Indian,0.0,200.0
Sri Kathyayani Upahar,Electronic City,South Indian,0.0,250.0
Daafoodies,Electronic City,Kerala,3.2,400.0
Vasu Biriyani Paradise,Electronic City,"North Indian, South Indian, Chinese",0.0,200.0
Paris Restaurant,Electronic City,North Indian,0.0,350.0
Naati Kitchen,Electronic City,"Kerala, South Indian",0.0,300.0
BJ Bhavan Veg Restaurants,Electronic City,"South Indian, North Indian, Chinese",0.0,350.0
TRS Family Restaurant,Electronic City,"South Indian, Andhra",0.0,150.0
Grand Kudla Family Restaurant,Electronic City,"South Indian, North Indian, Chinese",0.0,300.0
Theka,Electronic City,"North Indian, Street Food",0.0,300.0
Pals Food Point,Electronic City,South Indian,0.0,150.0
Hot 'N' Fresh,Electronic City,Fast Food,3.5,250.0
Indian Tava Phasta,Electronic City,"North Indian, Rolls",0.0,250.0
Ambur Dum Biriyani,Electronic City,"Biryani, Kebab",3.3,300.0
Lion City Restaurant and Cafe,Electronic City,"North Indian, South Indian, Chinese",3.3,300.0
Ambur Dum Biryani,Electronic City,"Biryani, Fast Food",0.0,300.0
V-3 Food Spot,Electronic City,"North Indian, Chinese, South Indian",0.0,300.0
Delhi Pizza House,Electronic City,"Pizza, American",3.2,400.0
Shri Lakshmi Vilas Andhra Mess - Taste of Vijayawada,Electronic City,"Andhra, Chinese, Biryani",0.0,500.0
Aafa Calicut Restaurant,Electronic City,"Fast Food, Chinese",0.0,150.0
Delhi's Essence,Electronic City,North Indian,3.6,500.0
Hotel Manarama,Electronic City,North Indian,3.7,200.0
Kerala Food,Electronic City,"Kerala, South Indian",0.0,250.0
Chill Out Bar,Electronic City,"Finger Food, Fast Food",0.0,1500.0
Mambos Cafe,Frazer Town,"Cafe, Continental, Beverages, Fast Food",3.9,1100.0
Cafe Arabica,Frazer Town,"Cafe, Bakery",4.1,700.0
Cafe Coffee Day,Frazer Town,"Cafe, Fast Food",3.1,900.0
Happy Belly Bakes,Frazer Town,"Bakery, Cafe",4.1,350.0
Loca Moca,Frazer Town,"Cafe, Continental",2.9,600.0
Starbucks,Commercial Street,"Cafe, Desserts",3.5,700.0
Cafe Nibras,Banaswadi,"Cafe, Continental",3.4,400.0
The Sanctuary,Banaswadi,"Cafe, Fast Food",3.9,450.0
Cafe Jezve,Koramangala 5th Block,Cafe,3.8,500.0
eat.fit,Indiranagar,"Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts",4.5,500.0
FreshMenu,North Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",3.6,450.0
Empire Restaurant,RT Nagar,"North Indian, Mughlai, South Indian, Chinese",4.0,750.0
Just Shawarma,Kammanahalli,Arabian,3.7,300.0
Mother's Kitchen,RT Nagar,North Indian,3.7,600.0
Al Amanah Cafe,Kammanahalli,"Middle Eastern, Fast Food, Rolls",4.4,300.0
Ahaan Restaurant,RT Nagar,"North Indian, Chinese",2.8,300.0
Vijayalakshmi Veg,Nagawara,South Indian,3.9,200.0
Fish Chain,Kammanahalli,"Seafood, BBQ, Burger, Biryani",3.4,300.0
Punjabi Restaurant,RT Nagar,"North Indian, Chinese",3.3,400.0
Biryani Khazana,Indiranagar,Biryani,3.0,600.0
Thalassery Restaurant,Kammanahalli,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kerala",3.9,800.0
Biriyani Nights,Kammanahalli,"Biryani, Kebab, Continental",2.9,500.0
Paradise,Indiranagar,"Biryani, North Indian, Kebab",4.1,800.0
Shawarma King Restaurant,Kammanahalli,"Arabian, Chinese, North Indian",3.5,500.0
The Good Bowl,Indiranagar,"Italian, North Indian, Biryani",3.6,500.0
Bathinda Dine,Indiranagar,North Indian,4.1,950.0
Hotel Zam Zam,Hennur,"North Indian, Chinese",3.1,300.0
Taco Bell,Indiranagar,"Mexican, American, Fast Food",4.1,600.0
Sanky's Burger House,Hennur,"Burger, Fast Food",4.3,300.0
Asha Sweets Center,Indiranagar,"Mithai, Street Food",4.1,200.0
Al-Baik Tandoori Restaurant,Nagawara,"North Indian, Chinese, Arabian, Biryani, Rolls",3.6,450.0
Pizza Hut,Frazer Town,"Pizza, Fast Food",3.3,750.0
Food Box,Kammanahalli,"Fast Food, Beverages",3.6,350.0
Altaf's Chillies Restaurant,Frazer Town,"North Indian, Chinese",3.8,500.0
New Kairali Restaurant,Kammanahalli,"Kerala, South Indian",3.7,400.0
Arabian Shawarma,Kammanahalli,Arabian,3.7,150.0
Crunch Pizzas,Banaswadi,"Italian, Pizza",2.6,600.0
9 Bowls,Banaswadi,"Healthy Food, Continental, North Indian, Chinese",0.0,500.0
The Mangalorean,Kammanahalli,"Konkan, Mangalorean, Seafood",4.1,550.0
Kanti Sweets,RT Nagar,"Mithai, Street Food",3.9,400.0
Chickpet Donne Biriyani Mane,Kalyan Nagar,"Biryani, Kebab",3.0,350.0
Momoz,Kammanahalli,"Chinese, Momos",3.9,500.0
Connie's Restaurant & Steakhouse,Kammanahalli,"Steak, Continental, Burger, American, BBQ, European, Salad",4.3,1500.0
Seafood Place,Indiranagar,"Chinese, North Indian, Kerala, Mangalorean, Seafood",4.1,800.0
Sri Sagar,Kammanahalli,"South Indian, North Indian, Chinese, Street Food, Juices",3.7,300.0
New Biriyani Darbar,RT Nagar,"Biryani, South Indian, North Indian, Chinese",3.6,450.0
Biryani Bar,Kalyan Nagar,Biryani,0.0,500.0
Annabell,Indiranagar,"Continental, Beverages",4.0,700.0
Samovar,Kammanahalli,"Kerala, South Indian",3.9,600.0
Home Food,Kammanahalli,South Indian,3.4,300.0
JS Food Court,Kammanahalli,"Fast Food, Juices",3.8,400.0
Wild Range Restaurant,Kammanahalli,"North Indian, Chinese",3.8,600.0
Karachi Bakery,Indiranagar,Bakery,3.9,500.0
Pizza Stop,Banaswadi,"Pizza, Italian",3.8,500.0
Crunch Pizzas,Banaswadi,Pizza,2.9,400.0
SS Bucket Biryani,Frazer Town,"Biryani, North Indian, Chinese",3.9,600.0
Omleterian,Kammanahalli,"American, Continental",0.0,200.0
Fanoos,Frazer Town,"Arabian, Rolls, North Indian, BBQ",3.9,400.0
PurpleBasil.in,Kammanahalli,"Healthy Food, Desserts",4.1,500.0
Afrina's Kitchen,Kammanahalli,"Fast Food, Desserts",3.4,250.0
Glen's Bakehouse,Indiranagar,"Bakery, Cafe, Italian, Desserts",4.2,600.0
Wangs Kitchen,Frazer Town,Chinese,3.1,1000.0
Juicy Juice,RT Nagar,"Beverages, Ice Cream",0.0,100.0
Jingo BBQ & Burgers,Kammanahalli,"Burger, BBQ",3.9,550.0
Zabi,HBR Layout,Biryani,3.8,300.0
Upahara Mandira,HBR Layout,"South Indian, North Indian, Chinese",3.9,300.0
Thai House,Indiranagar,Thai,4.2,800.0
American Bites,Kalyan Nagar,"Fast Food, Burger, Pizza",2.4,450.0
BIB - Breakfast in the Box,Kammanahalli,"American, Sandwich",3.5,600.0
Imli,Indiranagar,"North Indian, Street Food",3.9,900.0
Calicut Restaurant,Kammanahalli,"Kerala, South Indian, North Indian, Chinese",3.6,450.0
Chubalas Curry And Rice,Kammanahalli,"Naga, Goan, Seafood, Chinese",4.0,550.0
Sannidhi Grand,Kammanahalli,"South Indian, North Indian, Chinese, Street Food",3.8,300.0
Navarang Fast Food,Kammanahalli,"North Indian, Chinese, Kebab, Rolls",3.6,300.0
New Peking,Kammanahalli,"Chinese, Malaysian",4.1,700.0
Manju's Kitchen,Indiranagar,Biryani,3.3,200.0
Biggies Burger 'n' More,Indiranagar,"Cafe, Burger, Beverages",4.3,650.0
Asaivam Restaurant,Indiranagar,"Chettinad, South Indian",4.0,750.0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Secret Alley,Indiranagar,"Fast Food, Cafe",3.9,450.0
The Food Corner,RT Nagar,"North Indian, Chinese",0.0,400.0
Peace Restaurant,Indiranagar,"Chinese, Tibetan",2.6,500.0
Maz Food Point,Kammanahalli,"Chinese, South Indian, Biryani",0.0,300.0
The Twisted Desi,Indiranagar,"Continental, Italian, North Indian, Chinese",0.0,1000.0
The Cake House,Ulsoor,"Bakery, Fast Food",3.7,300.0
Mahadii's,Kammanahalli,"Andhra, North Indian, Chinese",3.9,600.0
Cafe Thulp,Kammanahalli,"Cafe, Burger, Italian, Salad",4.0,1000.0
Yuan Restaurant,HBR Layout,"Chinese, Momos",3.8,550.0
Vijaya Gardenia,Banaswadi,"North Indian, Chinese, Andhra",3.4,500.0
Kenny's Restaurant,Banaswadi,Chinese,3.7,450.0
Asia In A Box,Kammanahalli,"Thai, Vietnamese, Indonesian, Asian",3.0,550.0
Domino's Pizza,Frazer Town,"Pizza, Fast Food",3.7,400.0
Pulimunchi,Indiranagar,"Mangalorean, Seafood",4.3,1000.0
A2B - Adyar Ananda Bhavan,Indiranagar,"South Indian, North Indian, Chinese, Street Food, Fast Food",3.0,400.0
Paaramparya Restaurant,Kammanahalli,"Chettinad, Mangalorean, South Indian, North Indian",3.6,600.0
Sidra Eatery,Kammanahalli,"North Indian, Continental",3.9,400.0
Chetty's Corner,Kammanahalli,"Fast Food, Burger",3.6,200.0
Five Star Chicken,Frazer Town,"Fast Food, Burger",3.7,200.0
Retreat Restaurant,RT Nagar,"Chinese, North Indian",3.5,500.0
Giselle Resto Cafe,Kammanahalli,"Cafe, Italian, Pizza, Beverages, Desserts",4.1,800.0
Jai Mataji Farshan & Sweets,Banaswadi,"Mithai, Street Food",3.8,150.0
Waffle Stories,Banaswadi,"Desserts, Beverages",3.8,300.0
Aadvik Nightfood,Frazer Town,Fast Food,3.6,350.0
Chai Central,RT Nagar,"Tea, Fast Food",3.2,200.0
House Of Candy,Banaswadi,Desserts,0.0,200.0
Food Town,Indiranagar,Chinese,3.2,150.0
Sreeraj Lassi Bar,Race Course Road,"Beverages, Desserts",3.9,150.0
Luqma Restaurant,RT Nagar,"North Indian, Chinese, Arabian, Rolls",3.5,550.0
Ice Cream Works,Indiranagar,"Ice Cream, Ice Cream",3.9,300.0
Shree Mahalakshmi Sweets,Kammanahalli,"Mithai, Street Food",0.0,100.0
Mummy's Kitchen,Banaswadi,South Indian,3.5,300.0
Pizbur Trap,Kammanahalli,"American, Burger, Momos, Bengali",3.5,400.0
Kettle & Kegs,Indiranagar,"Tea, Beverages",0.0,200.0
King Kong,Frazer Town,"Chinese, Momos",3.8,300.0
Vijayalaxmi Veg,Banaswadi,"North Indian, South Indian, Chinese, Fast Food",0.0,200.0
Crispy Fried Chicken,New BEL Road,"Burger, Fast Food",0.0,150.0
Chocs Cafe,RT Nagar,"Fast Food, Desserts, Beverages",3.6,400.0
NTR Cafe,Kammanahalli,"Chinese, Fast Food",2.9,100.0
North Se South Veg & Non-Veg Restaurants,Banaswadi,"South Indian, North Indian, Chinese",3.6,250.0
The Deagh,Frazer Town,"Chinese, North Indian, Arabian",3.7,500.0
Patels Inn,RT Nagar,"North Indian, Chinese",3.8,750.0
Shake The Shake,Kammanahalli,Juices,0.0,200.0
Elements Eatery,Frazer Town,"Continental, Steak",4.0,1100.0
The Fresh 'N' Grill,Banaswadi,Fast Food,0.0,150.0
Arabian Mataam,Frazer Town,"Biryani, Arabian",3.7,500.0
Chetty's Coffee,Indiranagar,South Indian,3.9,150.0
Beijing Bites,Frazer Town,"Chinese, Thai",3.9,850.0
AQNI,RT Nagar,"North Indian, Mughlai",3.0,500.0
7 to 11 Food Court,Banaswadi,"Fast Food, Burger, North Indian, South Indian",3.7,200.0
Vanas,Kammanahalli,"Mangalorean, Seafood",4.0,400.0
New Leaf Restaurant,Indiranagar,Chinese,3.7,1500.0
Natural Ice Cream,Frazer Town,"Ice Cream, Desserts",4.1,150.0
Viceroy's Sarathi,Indiranagar,"North Indian, Chinese",3.8,750.0
Sherlock's Pub,Frazer Town,"Continental, North Indian, Chinese",4.0,1500.0
Misal Darbar,Indiranagar,Maharashtrian,3.2,200.0
The Brekkie Shop,Indiranagar,"Healthy Food, Sandwich",3.7,300.0
Sweet Moments Express,Kammanahalli,"Mithai, Street Food",3.7,200.0
Lassi Cream,Frazer Town,"Beverages, Ice Cream",0.0,200.0
Naidoo's Donne Biryani,Kammanahalli,"South Indian, Biryani",3.5,300.0
Pista House,Frazer Town,"North Indian, Biryani",4.0,0.0
Bisi Thindi,Kammanahalli,South Indian,0.0,150.0
Dolphin Bar,Frazer Town,"Chinese, Finger Food, North Indian, Seafood",3.8,1000.0
Zu's Doner Kebaps,Kammanahalli,"Turkish, Fast Food",3.6,350.0
Lagom Patisserie,Frazer Town,"Bakery, Desserts",0.0,350.0
Indira Darshini,Frazer Town,South Indian,3.6,200.0
Patisserie Nitash,Frazer Town,Bakery,4.2,500.0
Three 7 Kitchen,Frazer Town,"Fast Food, Beverages, North Indian, South Indian",0.0,300.0
The Joint Family Kitchen,Frazer Town,"Fast Food, Beverages",0.0,500.0
Shahi Hyderabadi Dum Biryani,Frazer Town,"North Indian, Biryani",0.0,400.0
Ice box,Frazer Town,"Ice Cream, Beverages, Fast Food",0.0,200.0
Kolkatta Famous Kati Rolls,Frazer Town,Rolls,0.0,150.0
Farida's Kitchen,Frazer Town,Mughlai,0.0,250.0
Public Cafe,Frazer Town,Continental,0.0,700.0
The Sugar Fairy,Frazer Town,"Bakery, Desserts",4.3,100.0
Chote Miya,Frazer Town,"Mughlai, Biryani, Rolls",3.6,500.0
Royal Savera,Frazer Town,"North Indian, Chinese",3.1,600.0
Lychees Restaurant,Frazer Town,Fast Food,3.2,400.0
New Taj Biryani Centre,Frazer Town,"Biryani, South Indian",3.5,350.0
Mom Made Food,Frazer Town,"Biryani, Kerala",3.4,400.0
Mothers Recipe Restaurant,Frazer Town,"South Indian, North Indian, Chinese",3.1,600.0
Mini Fast Food,Frazer Town,"Fast Food, Chinese",3.1,150.0
East Cafe Corner,Frazer Town,"Rolls, Biryani",0.0,150.0
Chawla's 2 Online.com,Frazer Town,North Indian,0.0,800.0
New Prashanthi Donne Biryani,Frazer Town,Biryani,3.3,300.0
Al-Falah Restaurant,Frazer Town,"North Indian, Chinese, Rolls",0.0,400.0
Night Food Joint,Frazer Town,"North Indian, Chinese",2.9,500.0
Just Baked,Frazer Town,"Bakery, Desserts",3.4,400.0
Simu?s Kitchen,Frazer Town,"Mughlai, Desserts",3.4,500.0
L'inoui,Frazer Town,Desserts,3.5,400.0
Sadi's Biriyani,Frazer Town,Biryani,3.3,600.0
Konfection Konnection,Frazer Town,Desserts,3.6,600.0
Leia Soul Food,Frazer Town,Bakery,3.8,500.0
Madhu's kitchen,Frazer Town,North Indian,0.0,450.0
Baker Ree,Frazer Town,"Bakery, Desserts",3.7,200.0
Maddy's Cafe,Kammanahalli,"Cafe, Continental",3.8,500.0
The Teal Door Cafe,Indiranagar,"Cafe, Continental",4.2,800.0
Naidu Military Hotel,Kammanahalli,South Indian,3.5,250.0
Hunger Twist,Kalyan Nagar,"Fast Food, Burger",3.8,300.0
Gundappa Donne Biryani,Indiranagar,Biryani,2.5,300.0
The Gluten Free Baking Co.,Banaswadi,Bakery,3.8,400.0
Grand Food Court,RT Nagar,"North Indian, Chinese",0.0,0.0
Al-Baik Kabab Centre,Banaswadi,"Biryani, Chinese, Kebab",0.0,300.0
Raidan Oven,Frazer Town,"Rolls, Arabian",3.3,300.0
Bake and Fry,RT Nagar,"Fast Food, Sandwich",3.1,400.0
Sartaj Ambur Dum Biryani,Frazer Town,Biryani,3.2,150.0
Bada Bing Burgers,Frazer Town,"Burger, Desserts",3.5,300.0
Nuty,Kammanahalli,"North Indian, Biryani",0.0,300.0
Byblos,Indiranagar,"Lebanese, Arabian, Middle Eastern, Salad, Beverages",4.2,1700.0
Rich Bowl,Frazer Town,"North Indian, Chinese, Seafood, Rolls",3.5,450.0
Meat And Eat,Banaswadi,"Fast Food, Burger",3.3,500.0
Konark Vegetarian Restaurant,Commercial Street,"North Indian, Chinese, South Indian",4.1,700.0
Ahmeds Takeaway Restaurant,Frazer Town,"North Indian, Chinese",0.0,250.0
Food Corner,RT Nagar,"North Indian, Chinese, Fast Food",3.3,250.0
Bearys Restaurant,RT Nagar,"South Indian, North Indian",3.3,450.0
Homely Kitchen,Indiranagar,"North Indian, Chinese",0.0,300.0
Bade Miyan Kababs,Banaswadi,"Kebab, Hyderabadi, Biryani, North Indian",0.0,800.0
Red Savina,Jakkur,"North Indian, South Indian, Chinese, Mughlai",0.0,400.0
Hotel New Karthik,Banaswadi,"South Indian, Biryani",0.0,300.0
Feel The Taste,Hennur,Fast Food,0.0,300.0
Tindipotha,Kammanahalli,"South Indian, Biryani, Chinese, North Indian",0.0,300.0
The Lovin' Oven Cakery,Banaswadi,"Bakery, Desserts",3.5,500.0
Home Made Food,North Bangalore,"North Indian, South Indian",0.0,300.0
M K Lassi,Frazer Town,Beverages,0.0,100.0
Upsouth,Banaswadi,South Indian,3.8,300.0
Belly Deli,Frazer Town,"Fast Food, Biryani",4.1,400.0
5 Star Food,Kammanahalli,"South Indian, Fast Food",0.0,300.0
Sotang's,Kammanahalli,"North Indian, Chinese",3.3,250.0
Anand Vihar,RT Nagar,"North Indian, Chinese",2.5,0.0
New Musthafa's Kabab,Frazer Town,North Indian,0.0,300.0
Shahee,RT Nagar,Mughlai,0.0,200.0
Hotel Abhilash,Frazer Town,South Indian,0.0,200.0
The Rennan's Cafe,Kammanahalli,"Chinese, Fast Food, Momos",2.9,250.0
Kolkata Famous Kati Roll,RT Nagar,Rolls,0.0,150.0
Bhajanka's Restaurant,Kammanahalli,"Street Food, North Indian, Continental, Beverages",3.6,700.0
CK's Bakery,City Market,"Bakery, Fast Food",3.5,200.0
Eatapita,Kammanahalli,"Arabian, Pizza, Greek, Lebanese, Mediterranean",4.0,600.0
Cream Factory,RT Nagar,Desserts,3.5,400.0
Albert Bakery,Frazer Town,"Bakery, Fast Food",4.3,150.0
Corner House Ice Cream,Frazer Town,"Ice Cream, Desserts",4.1,400.0
Komala Refreshments,Frazer Town,South Indian,4.0,150.0
Sultan's Creams & Faloodas,Frazer Town,"Ice Cream, Beverages",3.3,150.0
Anand Sweets and Savouries,Frazer Town,"Mithai, Street Food",3.9,400.0
Luna Sweets,Frazer Town,"Desserts, Mithai",3.6,100.0
The Lassi Park,Frazer Town,"Juices, Desserts",3.8,200.0
Ibaco,Frazer Town,Desserts,3.7,300.0
Thomson's Bakery,Frazer Town,Bakery,3.5,300.0
Bombay Chowpaty Kulfi,Frazer Town,"Ice Cream, Desserts",4.2,250.0
Sweet Chariot,Frazer Town,"Bakery, Fast Food",3.1,500.0
Cafe D'Costa,Frazer Town,Bakery,3.8,200.0
Belgian Waffle Factory,Vasanth Nagar,Desserts,4.8,400.0
Cookie Man,Banaswadi,Bakery,0.0,150.0
Just Bake,MG Road,"Bakery, Desserts",3.8,400.0
Froststicks,Banaswadi,"Desserts, Ice Cream",0.0,150.0
Crescent Moon Bakery,RT Nagar,Bakery,0.0,500.0
Bombay Kulfi,RT Nagar,"Desserts, Ice Cream",0.0,150.0
Sharief Bhai,Frazer Town,"Mughlai, Biryani",4.3,700.0
Golden Restaurant,Frazer Town,"South Indian, North Indian, Chinese",3.7,1000.0
Fish N Spice,Frazer Town,"Chinese, Continental",0.0,500.0
Gallops,Frazer Town,"Chinese, Continental, North Indian",3.6,1400.0
Zayan Kabab Korner,Frazer Town,"Kebab, Biryani",3.8,250.0
Shiv Shankar Chaats,Frazer Town,Street Food,3.7,150.0
Cafe Iftar,Frazer Town,"Fast Food, Street Food",3.8,200.0
Karnataka Biriyani Paradise,Frazer Town,"North Indian, Biryani",3.4,300.0
KFC,Frazer Town,"Burger, Fast Food",3.3,400.0
Savera Cafe,Frazer Town,Fast Food,3.5,200.0
M.M.A. Kabab & Rolls,Frazer Town,"Arabian, Mughlai, Chinese, Kebab, Fast Food",3.5,400.0
Vasudev Adiga's,Frazer Town,"South Indian, North Indian, Chinese",2.8,300.0
New Taj Restaurant,Frazer Town,"North Indian, Fast Food",0.0,300.0
Indira Canteen,Frazer Town,South Indian,0.0,300.0
Affan Kabab Centre,Frazer Town,Kebab,0.0,150.0
Hunger Joint,Frazer Town,"Fast Food, Desserts, Beverages",0.0,300.0
Keral Kitchen,Frazer Town,"South Indian, Kerala",0.0,300.0
Five Star Chicken,Frazer Town,"Roast Chicken, Burger",3.3,300.0
Sapthagiri's Naidu Eating Point,Frazer Town,Biryani,3.4,300.0
AL-Nabi Hotel,Frazer Town,"Kebab, Biryani",0.0,300.0
Sri Devi Cafe,Frazer Town,"South Indian, Chinese",3.7,200.0
Just One More,Frazer Town,"South Indian, Street Food",3.4,200.0
A1 Tasty Lime Rice,Frazer Town,South Indian,0.0,150.0
Faasos,Frazer Town,"North Indian, Biryani, Fast Food",4.1,500.0
Subway,Frazer Town,"Salad, Fast Food",3.6,600.0
Imperial Restaurant,Shivajinagar,"North Indian, Chinese, Biryani, Kebab, Juices",2.9,800.0
McDonald's,Commercial Street,"Burger, Fast Food",2.7,500.0
Watson's,Ulsoor,"Finger Food, North Indian",4.2,1300.0
Knowhere,Banaswadi,"Continental, Finger Food",3.8,1300.0
Biryani Paradise,Banaswadi,"Biryani, Fast Food",0.0,200.0
New Kadai,RT Nagar,"North Indian, Chinese",3.3,400.0
WOW! Momo,Banaswadi,"Tibetan, Momos",2.8,400.0
Cafe Mingo?s,Cunningham Road,"Fast Food, Beverages",3.3,200.0
Bismillah Hotel,Hennur,"Biryani, North Indian, Kebab",0.0,250.0
Just Bake,Cunningham Road,"Bakery, Desserts",3.4,400.0
AAR Chinese And Grill Food Truck,South Bangalore,"BBQ, Chinese",0.0,200.0
Bilal Kabab Corner,Nagawara,"Mughlai, Chinese",0.0,300.0
Bawarchy Hotel,RT Nagar,"North Indian, Biryani",0.0,300.0
Jai Karnataka Biryani Paradise,Nagawara,North Indian,0.0,150.0
Hariharan Tiffen Centre,Nagawara,South Indian,0.0,200.0
Am On Restaurant Family Dine,RT Nagar,"Fast Food, Biryani",0.0,200.0
Bhavani Military Hotel,RT Nagar,"Maharashtrian, Mughlai, Fast Food",0.0,300.0
Udupas Veg Restaurant,Banaswadi,"South Indian, North Indian",3.2,300.0
The Lassi Park,Nagawara,"Juices, Desserts",3.3,200.0
Ambur Hot Dum Biryani,Hennur,"Biryani, Kebab",3.1,250.0
The Buffet Table,HSR,"North Indian, Pan Asian, Chinese, Italian, Continental, South Indian",0.0,1200.0
Empire Restaurant,HSR,"North Indian, Mughlai, South Indian, Chinese",3.9,750.0
Atithi,HSR,"North Indian, Chinese, Street Food",3.9,800.0
SSignature,HSR,"North Indian, South Indian, Chinese",0.0,800.0
Foxtrot - House of Subculture,Koramangala 3rd Block,"Cafe, American, Asian, North Indian",4.4,1000.0
Barbeque Nation,Koramangala 1st Block,"North Indian, European, Mediterranean, BBQ, Kebab",4.7,1600.0
Spice It - Ibis Hotel,Bommanahalli,"Asian, Continental, European, Fast Food, North Indian, Mughlai, South Indian",3.0,1200.0
The Hub - Ibis Hotel,Bommanahalli,"Finger Food, Fast Food",3.7,1500.0
Zee5 Loft,HSR,"Cafe, Burger, Pizza, Sandwich",4.4,700.0
Tea Villa Cafe,HSR,"Cafe, Tea, Continental, Mediterranean, Italian, Desserts, Beverages",4.2,800.0
Here & Now,HSR,"Cafe, American, Burger, Beverages",4.6,750.0
Amour Fine Patisserie,HSR,"Cafe, Desserts, Continental",4.0,500.0
Blk Plus Wht,HSR,"Asian, Thai, North Indian",4.3,800.0
La Estranger Cafe,HSR,"Cafe, Burger, Sandwich, Beverages",3.8,500.0
Smally's Resto Cafe,HSR,"Cafe, Italian, Burger, American, Steak",4.0,650.0
Tea Addict,HSR,"Cafe, Beverages",4.0,300.0
Grilliez,HSR,"Cafe, Arabian, Continental, Turkish, Fast Food, Burger, Beverages",4.1,600.0
The Chocolate Room,HSR,"Cafe, Bakery, Fast Food, Desserts",3.9,600.0
JFD Cafe,HSR,Cafe,2.8,400.0
Canopy Flavours,HSR,"Cafe, Fast Food",2.6,450.0
Cafe Coffee Day,HSR,Cafe,3.8,650.0
That Garage Cafe,HSR,"Cafe, Italian, Continental, European, Biryani, Chinese",3.1,650.0
The Wicked Cup,HSR,"Cafe, Sandwich, Fast Food, Beverages, Desserts",3.9,350.0
Gold Bean,HSR,Cafe,2.5,550.0
Kairos,HSR,"Cafe, Italian, European",3.8,1000.0
Chaai Resto,HSR,"Tea, Beverages, Fast Food",3.9,250.0
Big Mama,HSR,"Cafe, Continental, Italian",3.3,600.0
UBCR Cafe & Resto,HSR,"Cafe, Burger, Continental, Chinese",3.6,500.0
Go Native,HSR,"Healthy Food, Cafe, Beverages",0.0,800.0
Talk Over Table Cafe,HSR,"Cafe, Italian, Beverages",3.7,500.0
Sky Bakery and Cafe,Bommanahalli,"Bakery, Cafe",0.0,350.0
VegiGate,Sarjapur Road,"Cafe, Chinese",0.0,500.0
Midnight Mania,Koramangala 6th Block,"Pizza, Italian, Beverages",4.1,700.0
M.M Restaurant,HSR,"Chinese, North Indian, Biryani",3.9,600.0
Night Fox,Bommanahalli,"South Indian, North Indian, Chinese",3.2,500.0
Abhiruchi Hotel,Bommanahalli,"North Indian, Biryani, Seafood",3.2,700.0
